standard import;lib import EncodeDecode;lib import LogAndCount;sensor import;analog config;entering main;log init;I2C class initialise;sensor class initialise;ble class initialise;sensor read;U bat read;encode measures;central connect;message write;central disconnect;
160;189;318;632;12;14;277;11;126;217;82;13;40;385;99;104;2679
168;192;327;638;12;14;293;12;126;218;84;13;42;283;99;104;2625
169;193;328;640;12;14;287;11;127;221;84;12;41;385;99;154;2777
174;196;332;645;13;15;285;12;127;302;84;13;43;381;99;153;2874
178;199;336;650;13;15;285;12;127;223;84;13;43;482;149;103;2912
181;201;341;653;13;15;289;12;128;219;84;14;42;181;99;104;2576
183;201;342;655;13;15;293;12;127;221;84;14;41;383;99;103;2786
188;204;347;659;14;15;312;12;128;218;85;13;42;282;99;104;2722
59;129;209;523;7;10;232;8;122;298;79;9;38;294;99;104;2220
61;130;211;523;8;10;226;7;122;210;79;9;37;247;99;154;2133
65;132;216;529;8;11;224;8;122;219;80;8;38;195;99;104;2058
70;135;220;534;8;11;244;8;122;215;79;9;38;395;99;104;2291
75;137;226;538;9;11;242;8;123;298;80;10;38;392;249;104;2540
265;343;552;1035;24;28;527;25;144;671;101;25;68;218;99;104;4229
261;337;547;1030;16;20;501;15;135;583;92;16;57;248;99;154;4111
273;345;561;1044;18;21;510;17;136;567;93;17;59;343;99;104;4207
285;353;573;1058;18;22;513;17;137;576;94;18;62;239;99;104;4168
295;359;585;1068;18;21;527;18;138;561;94;19;62;288;249;2589;6891
300;360;589;1072;18;21;521;17;136;568;93;18;58;293;100;154;4318
312;369;602;1087;19;23;539;18;138;552;94;19;62;438;99;104;4475
325;377;617;1101;20;24;536;19;139;703;95;21;62;284;99;154;4576
338;383;630;1114;20;24;552;19;139;549;96;20;62;385;99;104;4534
214;244;407;761;18;21;347;19;134;400;90;20;52;357;149;103;3336
212;241;404;759;14;16;339;14;129;311;86;14;46;352;771;153;3861
218;245;411;766;15;17;360;14;129;306;86;15;45;373;99;153;3252
225;250;418;773;15;17;353;15;130;310;87;16;46;271;99;153;3178
232;253;425;780;15;18;356;15;131;306;88;16;47;319;99;153;3253
236;256;431;786;14;18;359;16;130;310;87;16;49;267;99;153;3227
244;260;438;793;15;17;361;16;131;396;88;17;49;265;99;54;3243
245;261;440;795;15;18;366;15;131;306;87;16;48;319;99;153;3314
252;266;447;802;16;18;368;16;131;309;88;17;48;267;98;104;3247
258;269;454;809;16;19;382;16;132;302;88;17;50;314;150;103;3379
263;272;460;814;16;19;364;17;132;305;89;17;50;414;99;153;3484
265;273;462;816;16;19;380;16;131;403;88;17;48;366;99;104;3503
272;278;468;824;16;20;392;17;132;392;89;17;51;262;99;104;3433
85;165;267;622;9;11;299;10;125;309;82;10;41;286;99;154;2574
87;166;269;624;9;12;283;9;124;302;81;9;41;288;99;154;2557
94;171;276;631;9;13;285;9;125;304;82;10;42;336;149;103;2639
100;174;283;638;10;13;299;10;125;303;81;11;43;284;99;53;2526
105;177;289;643;10;12;303;10;126;381;82;11;43;233;99;104;2628
107;178;291;645;10;13;307;10;124;302;82;10;41;287;98;154;2659
113;183;297;653;10;13;300;10;126;310;82;11;42;235;98;154;2637
120;187;304;660;11;13;303;11;126;285;83;11;43;361;771;103;3392
127;190;312;667;11;13;315;11;126;301;82;12;43;232;149;103;2694
132;193;318;672;11;13;298;11;127;383;84;12;43;181;99;103;2680
311;371;602;1086;26;30;551;26;145;697;102;27;70;314;299;53;4710
316;370;607;1090;19;23;553;18;138;591;95;19;61;388;99;154;4541
328;378;620;1104;19;24;545;19;138;564;95;19;62;337;249;104;4605
337;384;631;1115;18;23;530;20;139;562;95;21;62;284;99;153;4473
342;385;635;1119;19;23;543;18;138;577;94;19;62;287;100;103;4464
355;394;649;1132;21;24;562;20;139;571;95;21;63;233;99;103;4481
367;401;663;1145;21;25;565;20;140;567;97;21;64;381;99;154;4730
377;407;673;1157;20;24;559;21;141;576;97;22;64;279;99;104;4620
381;409;677;1161;21;24;582;20;139;607;95;21;63;233;99;104;4636
393;417;691;1175;22;26;571;21;141;572;97;22;65;328;249;104;4894
